"Id","658342e59700bdb5e7119b4b","658342e59700bdb5e7119b45","658342e59700bdb5e7119b47","658342e59700bdb5e7119b49","658c8e423bcbd8a985918ad0"
"Timestamp","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Battery Voltage","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Crack Displacement","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Crack.X","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Crack.Y","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/RSSI"
"Units","","","","",""
2023-12-25 13:44:23,,-10.3,-1.1,-29,
2023-12-25 13:59:23,3.3,-10.3,-1.1,-29,
2023-12-25 14:29:23,3.3,-10.3,-1.1,-29,
2023-12-25 14:44:22,,-10.3,-1.1,-29,
2023-12-25 15:14:22,,-10.3,-1.1,-29,
2023-12-25 15:29:22,3.3,-10.3,-1.1,-29,
2023-12-25 15:44:22,,-10.3,-1.1,-29,
2023-12-25 16:14:22,,-10.3,-1,-28.9,
2023-12-25 16:29:21,3.3,-10.3,-1.1,-29,
2023-12-25 16:44:21,,-10.3,-1,-29,
2023-12-25 16:59:21,3.3,-10.3,-1.1,-29,
2023-12-25 17:29:21,3.3,-10.2,-1.1,-29,
2023-12-25 17:59:21,3.3,-10.3,-1.1,-29,
2023-12-25 18:14:20,,-10.3,-1,-29,
2023-12-25 18:44:20,,-10.3,-1.1,-28.9,
2023-12-25 19:14:20,,-10.3,-1.1,-29,
2023-12-25 19:29:20,3.3,-10.2,-1.1,-29,
2023-12-25 19:44:19,,-10.3,-1.1,-29,
2023-12-25 19:59:19,3.3,-10.3,-1,-29,
2023-12-25 20:14:19,,-10.3,-1.1,-29,
2023-12-25 20:29:19,3.3,-10.3,-1.1,-29,
2023-12-25 20:59:19,3.3,-10.2,-1.1,-29,
2023-12-25 21:44:18,,-10.3,-1.1,-29,
2023-12-25 21:59:18,3.3,-10.3,-1.1,-29,
2023-12-25 22:14:18,,-10.3,-1.1,-29,
2023-12-25 22:29:18,3.3,-10.3,-1.1,-29,
2023-12-25 22:44:18,,-10.3,-1.1,-28.9,
2023-12-25 22:59:18,3.3,-10.3,-1.1,-29,
2023-12-25 23:14:17,,-10.3,-1.1,-28.9,
2023-12-25 23:29:17,3.3,-10.3,-1.1,-29,
2023-12-25 23:44:17,,-10.3,-1.1,-29,
2023-12-25 23:59:17,3.3,-10.3,-1.1,-29,
2023-12-26 00:44:16,,-10.3,-1.1,-28.9,
2023-12-26 01:29:16,3.3,-10.3,-1.1,-29,
2023-12-26 01:44:16,,-10.2,-1.1,-29,
2023-12-26 01:59:16,3.3,-10.3,-1.1,-29,
2023-12-26 02:29:15,3.3,-10.3,-1.1,-28.9,
2023-12-26 02:44:15,,-10.2,-1.1,-29,
2023-12-26 03:14:15,,-10.3,-1.1,-29,
2023-12-26 03:44:15,,-10.3,-1,-29,
2023-12-26 03:59:15,3.3,-10.3,-1,-29,
2023-12-26 04:29:14,3.3,-10.2,-1,-29,
2023-12-26 04:59:14,3.3,-10.3,-1.1,-29,
2023-12-26 05:29:14,3.3,-10.3,-1.1,-29,
2023-12-26 05:44:14,,-10.2,-1.1,-29,
2023-12-26 05:59:13,3.3,-10.3,-1.1,-29,
2023-12-26 06:14:13,,-10.3,-1,-28.9,
2023-12-26 06:59:13,3.3,-10.3,-1.1,-29,
2023-12-26 07:29:12,3.3,-10.3,-1.1,-29,
2023-12-26 08:14:12,,-10.2,-1,-29,
2023-12-26 09:14:11,,-10.2,-1.1,-28.9,
2023-12-26 09:44:11,,-10.2,-1.1,-29,
2023-12-26 09:59:11,3.3,-10.2,-1.1,-29,
2023-12-26 10:14:11,,-10.3,-1,-29,
2023-12-26 11:14:10,,-10.2,-1.1,-29,
2023-12-26 11:29:10,3.3,-10.3,-1.1,-29,
2023-12-26 12:59:09,3.3,-10.2,-1,-29,
2023-12-26 14:29:09,3.3,-10.3,-1,-29,
2023-12-26 15:29:08,3.3,-10.3,-1.1,-29,
2023-12-26 16:29:07,3.3,-10.3,-1,-29,
2023-12-26 16:59:07,3.3,-10.3,-1.1,-28.9,
2023-12-26 17:44:07,,-10.3,-1,-28.9,
2023-12-26 18:14:06,,-10.3,-1.1,-29,
2023-12-26 20:29:05,3.3,-10.3,-1,-29,
2023-12-26 20:44:05,,-10.3,-1,-29,
2023-12-26 20:59:05,3.3,-10.3,-1,-29,
2023-12-26 22:59:03,3.3,-10.3,-1.1,-29,
2023-12-26 23:14:03,,-10.3,-1,-29,
2023-12-26 23:29:03,3.3,-10.3,-1.1,-29,
2023-12-26 23:44:03,,-10.3,-1.1,-29,
2023-12-27 00:44:02,,-10.3,-1.1,-29,
2023-12-27 00:59:02,3.3,-10.2,-1,-29,
2023-12-27 01:59:02,3.3,-10.3,-1.1,-29,
2023-12-27 02:29:01,3.3,-10.3,-1.1,-29,
2023-12-27 02:59:01,3.3,-10.3,-1.1,-29,
2023-12-27 03:14:01,,-10.2,-1,-29,
2023-12-27 03:44:01,,-10.2,-1,-29,
2023-12-27 04:44:00,,-10.2,-1,-29,
2023-12-27 05:28:59,3.3,-10.3,-1,-29,
2023-12-27 05:43:59,,-10.2,-1.1,-29,
2023-12-27 05:58:59,3.3,-10.2,-1,-29,
2023-12-27 06:28:59,3.3,-10.3,-1,-29,
2023-12-27 06:58:58,3.3,-10.2,-1,-29,
2023-12-27 07:13:58,,-10.2,-1.1,-29,
2023-12-27 07:43:58,,-10.2,-1.1,-28.9,
2023-12-27 08:28:58,3.3,-10.2,-1.1,-29,
2023-12-27 10:13:57,,-10.2,-1,-29,
2023-12-27 14:13:54,,-9.8,-1.1,-28.9,
2023-12-27 15:51:06,3.5,-9.7,-1.5,-9.7,-74
2023-12-27 16:36:06,,-9.8,-1.5,-9.8,-70
2023-12-27 16:51:05,3.3,-9.8,-1.5,-9.8,-70
2023-12-27 17:06:05,,-9.8,-1.5,-9.8,-64
2023-12-27 17:21:05,3.3,-9.8,-1.5,-9.8,-69
2023-12-27 17:36:05,,-9.8,-1.5,-9.8,-70
2023-12-27 17:51:05,3.3,-9.8,-1.5,-9.8,-60
2023-12-27 18:36:04,,-9.8,-1.5,-9.8,-70
2023-12-27 18:51:04,3.3,-9.8,-1.5,-9.8,-71
2023-12-27 19:06:04,,-9.8,-1.5,-9.8,-76
2023-12-27 19:21:04,3.3,-9.8,-1.5,-9.8,-71
2023-12-27 19:36:04,,-9.8,-1.5,-9.8,-63
2023-12-27 19:51:03,3.3,-9.8,-1.5,-9.8,-63
2023-12-27 20:06:03,,-9.8,-1.5,-9.8,-64
2023-12-27 20:21:03,3.3,-9.8,-1.5,-9.8,-64
2023-12-27 20:36:03,,-9.8,-1.5,-9.8,-70
2023-12-27 20:51:03,3.3,-9.8,-1.5,-9.8,-64
2023-12-27 21:06:03,,-9.8,-1.5,-9.8,-66
2023-12-27 21:21:03,3.3,-9.8,-1.5,-9.8,-66
2023-12-27 21:36:02,,-9.8,-1.4,-9.8,-61
2023-12-27 21:51:02,3.3,-9.8,-1.4,-9.8,-63
2023-12-27 22:06:02,,-9.8,-1.5,-9.8,-68
2023-12-27 22:21:02,3.3,-9.8,-1.5,-9.8,-70
2023-12-27 22:36:02,,-9.8,-1.5,-9.8,-65
2023-12-27 22:51:02,3.3,-9.8,-1.5,-9.8,-72
2023-12-27 23:06:02,,-9.8,-1.5,-9.8,-64
2023-12-27 23:21:01,3.3,-9.8,-1.5,-9.8,-71
2023-12-27 23:36:01,,-9.8,-1.5,-9.8,-65
2023-12-27 23:51:01,3.3,-9.8,-1.5,-9.8,-70
2023-12-28 00:06:01,,-9.8,-1.5,-9.8,-65
2023-12-28 00:21:01,3.3,-9.8,-1.5,-9.8,-62
2023-12-28 00:36:01,,-9.8,-1.5,-9.8,-65
2023-12-28 00:51:01,3.3,-9.8,-1.5,-9.8,-65
2023-12-28 01:06:00,,-9.8,-1.5,-9.8,-64
2023-12-28 01:21:00,3.3,-9.8,-1.5,-9.8,-71
2023-12-28 01:36:00,,-9.8,-1.5,-9.8,-64
2023-12-28 01:51:00,3.3,-9.8,-1.5,-9.8,-72
2023-12-28 02:06:00,,-9.8,-1.5,-9.8,-64
2023-12-28 02:21:00,3.3,-9.8,-1.5,-9.8,-65
2023-12-28 02:35:59,,-9.8,-1.5,-9.8,-64
2023-12-28 02:50:59,3.3,-9.8,-1.5,-9.8,-65
2023-12-28 03:05:59,,-9.8,-1.5,-9.8,-66
2023-12-28 03:20:59,3.3,-9.8,-1.5,-9.8,-64
2023-12-28 03:35:59,,-9.8,-1.5,-9.8,-65
2023-12-28 03:50:59,3.3,-9.8,-1.5,-9.8,-69
2023-12-28 04:05:59,,-9.8,-1.5,-9.8,-71
2023-12-28 04:20:58,3.3,-9.8,-1.5,-9.8,-69
2023-12-28 04:35:58,,-9.8,-1.5,-9.8,-65
2023-12-28 04:50:58,3.3,-9.8,-1.5,-9.8,-62
2023-12-28 05:05:58,,-9.8,-1.5,-9.8,-68
2023-12-28 05:20:58,3.3,-9.8,-1.5,-9.8,-70
2023-12-28 05:35:58,,-9.8,-1.5,-9.8,-65
2023-12-28 05:50:58,3.3,-9.8,-1.5,-9.8,-72
2023-12-28 06:05:57,,-9.8,-1.5,-9.8,-64
2023-12-28 06:20:57,3.3,-9.8,-1.5,-9.8,-64
2023-12-28 06:35:57,,-9.8,-1.5,-9.8,-70
2023-12-28 06:50:57,3.3,-9.8,-1.5,-9.8,-65
2023-12-28 07:05:57,,-9.8,-1.5,-9.8,-71
2023-12-28 07:20:57,3.3,-9.8,-1.5,-9.8,-60
2023-12-28 07:35:57,,-9.8,-1.5,-9.8,-60
2023-12-28 07:50:56,3.3,-9.8,-1.5,-9.8,-70
2023-12-28 08:05:56,,-9.8,-1.5,-9.8,-69
2023-12-28 08:20:56,3.3,-9.8,-1.5,-9.8,-66
2023-12-28 09:05:56,,-9.9,-1.4,-9.9,-66
2023-12-28 10:05:55,,-9.9,-1.5,-9.9,-65
2023-12-28 10:20:55,3.3,-9.9,-1.5,-9.9,-64
2023-12-28 10:35:55,,-9.9,-1.4,-9.9,-66
2023-12-28 10:50:55,3.3,-9.9,-1.4,-9.9,-65
2023-12-28 12:20:54,3.3,-10.4,-1.4,-10.4,-52
2023-12-28 12:35:54,,-10.7,-1.4,-10.7,-71
2023-12-28 12:50:54,3.3,-10.7,-1.4,-10.7,-70
2023-12-28 14:35:53,,-10.9,-1.4,-10.9,-54
2023-12-28 14:50:53,3.3,-10.9,-1.4,-10.9,-69
